5.16,3.41,1.64,0.26,setosa
5.48,4.05,1.53,0.37,setosa
5.1,2.8,1.47,0.38,setosa
4.64,3.44,1.53,0.17,setosa
4.85,2.87,1.23,0.26,setosa
4.91,3.19,1.86,0.35,setosa
4.47,3.91,1.42,0.41,setosa
5.05,4.13,1.59,0.22,setosa
5.2,3.22,1.44,0.21,setosa
4.68,2.95,1.59,0.15,setosa
4.85,3.68,1.53,0.36,setosa
4.68,4.09,1.12,0.24,setosa
5.35,3.5,1.66,0.2,setosa
5.23,3.78,1.38,0.33,setosa
5.4,4.1,1.34,0.29,setosa
4.48,3.31,1.4,0.27,setosa
5.22,3.32,1.81,0.35,setosa
5.01,4.27,1.55,0.28,setosa
4.34,3.96,1.62,0.49,setosa
4.95,2.92,1.65,0.28,setosa
5.77,3.45,1.45,0.33,setosa
5.18,2.96,1.26,0.22,setosa
5.34,3.15,1.33,0.2,setosa
4.75,2.8,1.15,0.31,setosa
5.15,3.58,1.63,0.29,setosa
5.16,3.14,1.36,0.27,setosa
5.57,3.4,1.43,0.32,setosa
4.58,3.68,1.6,0.3,setosa
5.16,3.02,1.64,0.43,setosa
5.32,3.12,1.59,0.15,setosa
5.35,3.16,1.66,0.24,setosa
4.91,3.52,1.61,0.48,setosa
4.35,2.75,1.39,0.22,setosa
4.63,4.47,1.18,0.47,setosa
5.46,3.15,1.29,0.3,setosa
4.39,3.83,1.56,0.43,setosa
4.48,2.4,1.54,0.27,setosa
4.96,3.61,1.64,0.34,setosa
5.37,3.01,1.2,0.31,setosa
4.52,3.95,1.91,0.42,setosa
5.74,2.73,1.54,0.32,setosa
5.53,4.56,1.77,0.36,setosa
4.9,2.56,1.51,0.23,setosa
5.01,4.05,1.35,0.34,setosa
4.87,3.85,1.5,0.37,setosa
4.57,3.12,1.56,0.24,setosa
5.09,3.47,1.69,0.35,setosa
5.14,4.06,1.44,0.21,setosa
5.33,3.63,1.63,0.26,setosa
5.31,2.94,1.44,0.29,setosa
5.63,3.26,1.7,0.27,setosa
5.04,3.92,1.4,0.21,setosa
5.09,3.27,1.51,0.59,setosa
5.11,3.14,1.77,0.26,setosa
5.0,2.9,1.41,0.24,setosa
5.49,3.03,1.97,0.18,setosa
4.99,3.43,1.39,0.55,setosa
4.66,2.97,1.42,0.33,setosa
5.67,4.02,1.58,0.29,setosa
4.62,3.15,1.07,0.25,setosa
5.01,3.97,1.24,0.33,setosa
5.04,3.48,1.33,0.27,setosa
4.8,3.89,1.99,0.32,setosa
4.39,2.83,1.92,0.29,setosa
5.06,3.81,1.81,0.22,setosa
4.08,3.03,1.29,0.29,setosa
5.45,2.47,1.48,0.17,setosa
5.43,2.38,1.33,0.2,setosa
4.55,4.0,1.83,0.37,setosa
4.95,2.82,1.6,0.28,setosa
5.45,2.84,1.45,0.34,setosa
4.8,3.58,1.8,0.1,setosa
5.14,2.69,1.54,0.24,setosa
5.26,3.16,1.31,0.37,setosa
5.55,4.1,1.86,0.34,setosa
5.49,3.59,1.37,0.26,setosa
5.27,3.57,1.45,0.28,setosa
4.84,3.79,1.58,0.29,setosa
5.68,3.66,1.62,0.36,setosa
4.97,3.63,1.56,0.27,setosa
5.01,3.72,1.63,0.35,setosa
5.7,3.94,1.36,0.24,setosa
5.19,2.55,1.64,0.29,setosa
5.6,3.32,1.67,0.25,setosa
5.32,3.14,1.39,0.21,setosa
4.94,3.19,1.4,0.26,setosa
4.43,3.23,1.54,0.39,setosa
5.0,3.96,1.22,0.33,setosa
5.22,3.05,1.8,0.27,setosa
5.3,2.59,1.58,0.16,setosa
5.11,2.96,1.66,0.37,setosa
4.99,3.45,1.61,0.27,setosa
5.26,3.47,1.62,0.26,setosa
5.69,3.43,1.67,0.49,setosa
5.71,3.43,1.58,0.37,setosa
4.16,3.13,1.36,0.24,setosa
5.05,3.49,1.37,0.25,setosa
4.88,3.61,1.81,0.25,setosa
5.72,3.68,1.19,0.5,setosa
5.27,3.32,1.32,0.36,setosa
4.91,2.8,1.29,0.14,setosa
4.86,3.63,1.45,0.35,setosa
5.55,3.01,1.7,0.31,setosa
5.05,3.14,1.07,0.47,setosa
5.73,3.52,1.98,0.32,setosa
4.74,4.15,1.7,0.41,setosa
4.59,3.15,1.6,0.38,setosa
4.82,2.91,1.85,0.19,setosa
5.84,3.44,1.59,0.39,setosa
4.66,3.72,1.92,0.27,setosa
4.18,2.86,1.5,0.33,setosa
5.08,3.38,1.3,0.47,setosa
4.93,3.76,1.42,0.34,setosa
4.72,2.64,1.34,0.25,setosa
4.78,3.31,1.46,0.28,setosa
4.93,3.81,1.94,0.35,setosa
5.42,3.16,1.55,0.27,setosa
4.82,2.15,1.36,0.29,setosa
5.88,3.26,1.39,0.44,setosa
6.36,3.16,1.7,0.26,setosa
4.39,3.53,1.48,0.28,setosa
4.67,3.24,1.4,0.12,setosa
4.84,4.07,1.9,0.4,setosa
5.46,3.91,1.49,0.25,setosa
4.88,2.49,1.4,0.2,setosa
4.45,4.1,1.57,0.55,setosa
5.07,2.73,1.51,0.2,setosa
5.46,3.81,1.61,0.27,setosa
4.73,4.04,1.41,0.26,setosa
5.28,4.12,1.53,0.27,setosa
4.65,3.95,1.13,0.34,setosa
4.7,3.54,1.55,0.25,setosa
5.18,3.11,1.56,0.33,setosa
4.97,3.33,1.54,0.21,setosa
5.29,2.68,1.49,0.26,setosa
5.06,3.26,1.77,0.17,setosa
5.41,3.3,1.0,0.18,setosa
5.3,2.98,1.62,0.18,setosa
5.42,2.81,1.72,0.3,setosa
5.45,3.49,1.45,0.31,setosa
5.17,3.61,1.49,0.48,setosa
4.21,3.38,1.73,0.26,setosa
5.27,4.14,1.24,0.29,setosa
5.48,2.54,1.66,0.22,setosa
4.68,3.17,1.61,0.24,setosa
5.11,4.76,1.46,0.2,setosa
5.12,3.04,1.56,0.3,setosa
4.96,3.21,1.53,0.27,setosa
5.2,3.6,1.5,0.33,setosa
5.11,3.54,1.5,0.19,setosa
5.18,4.22,1.64,0.16,setosa
4.64,2.54,1.46,0.39,setosa
5.09,2.8,1.19,0.31,setosa
6.15,2.85,1.55,0.13,setosa
5.43,3.83,1.59,0.38,setosa
5.54,3.91,1.21,0.32,setosa
4.55,2.83,1.73,0.2,setosa
4.25,3.37,1.39,0.26,setosa
4.56,2.47,1.48,0.29,setosa
4.48,2.95,1.54,0.4,setosa
4.84,2.79,1.34,0.45,setosa
4.21,3.6,1.46,0.25,setosa
5.58,3.41,1.48,0.35,setosa
5.77,3.38,1.46,0.2,setosa
4.96,3.68,1.53,0.29,setosa
4.95,2.75,1.54,0.29,setosa
5.16,3.93,1.5,0.28,setosa
5.35,2.62,1.04,0.44,setosa
4.43,3.35,1.5,0.27,setosa
5.61,3.28,1.34,0.44,setosa
4.73,2.98,1.51,0.18,setosa
5.15,3.19,1.3,0.35,setosa
5.14,3.24,1.73,0.3,setosa
5.48,3.63,1.43,0.38,setosa
5.25,3.3,1.54,0.25,setosa
4.61,2.82,1.33,0.42,setosa
4.49,4.5,1.2,0.35,setosa
